time,strategic_objective_value
1733408603,191771187744
1733408603,191555678994
1733408603,191447460174
1733408605,191373658824
1733408606,191373445154
1733408606,191305731524
1733408606,191267049324
1733408607,191236355234
1733408607,191186222974
1733408608,191144832802
1733408608,191143793184
1733408609,191090865954
1733408611,190989833374
1733408612,190984475344
1733408612,190979826854
1733408613,190951322804
1733408613,190915085514
1733408613,190893634084
1733408614,190886320704
1733408614,190855744754
1733408616,190842905284
1733408617,190805834044
1733408618,190788162074
1733408618,190777028074
1733408619,190728115260
1733408619,190661259504
1733408620,190647921874
1733408620,190620062934
1733408622,190600998844
1733408623,190585651996
1733408625,190542415596
1733408625,190538210636
1733408626,190517522286
1733408629,190455363966
1733408629,190451880226
1733408632,190267398526
1733408632,190263503066
1733408633,190243549966
1733408634,190181348736
1733408634,189950279596
1733408635,189944288376
1733408635,189925066876
1733408636,189923675066
1733408640,189909944646
1733408642,189890779996
1733408643,189866083666
1733408644,189863470346
1733408645,189860847036
1733408645,189859176076
1733408646,189844550568
1733408646,189843452818
1733408647,189836094818
1733408649,189836051038
1733408651,189827695868
1733408652,189788033438
1733408654,189784014298
1733408655,189777389808
1733408656,189773638678
1733408657,189744242408
1733408657,189743904008
1733408658,189735169478
1733408658,189733028068
1733408659,189723398648
1733408661,189709258228
1733408662,192945280074
1733408662,192080080728
1733408662,191997509702
1733408663,191991774642
1733408663,191801837752
1733408663,191783389486
1733408664,191749566260
1733408664,191745760240
1733408665,191702969724
1733408665,191699063154
1733408665,191698444884
1733408666,191667798934
1733408667,191661933634
1733408667,191654059384
1733408667,191648849514
1733408668,191524836588
1733408668,191440773138
1733408668,191433152252
1733408669,191323968692
1733408670,191260278032
1733408671,191230139752
1733408671,191222013952
1733408672,191098192922
1733408673,191095189722
1733408674,191074517262
1733408675,191063430212
1733408675,191055803202
1733408676,191051535102
1733408677,191021168518
1733408677,191014646548
1733408678,191008204948
1733408679,191003843928
1733408681,190893466028
1733408682,190869394998
1733408683,190857777038
1733408685,190830024218
1733408686,190805496578
1733408688,190776737998
1733408689,190741324562
1733408690,190723835922
1733408691,190717902752
1733408692,190713864142
